Clase	Letra	Correspondencia	Transcripción	Forma	–1200	1201–1250	1251–1300	1301–1350	1351–1400	1401–1450	1451–1500	1501–1550	1551–1600
Word-medial semivowel /j/ ending a diphthong	i	Habeis	abeis	abeis	0	0	1	0	0	0	1	5	11
Word-medial semivowel /j/ ending a diphthong	y	Habeis	abeys	abeys	0	0	0	1	0	0	4	21	6
Word-medial semivowel /j/ starting a diphthong	i	Habiendo	abiendo	abiendo	0	1	5	7	1	9	36	39	48
Word-medial semivowel /j/ starting a diphthong	y	Habiendo	abyendo	abyendo	0	0	0	0	0	0	2	4	0
Word-medial semivowel /j/ ending a diphthong	i	Habeis	abeis	abéis	0	0	0	0	0	0	9	1	7
Word-medial semivowel /j/ ending a diphthong	y	Habeis	abeys	abéys	0	0	0	0	0	0	2	2	0
Word-medial semivowel /j/ ending a diphthong	i	Haceis	aceis	aceis	0	0	0	0	0	0	0	0	1
Word-medial semivowel /j/ starting a diphthong	i	Haciendo	aciendo	aciendo	0	0	0	0	0	0	1	6	4
Word-medial semivowel /j/ ending a diphthong	i	Hagais	agais	agais	0	0	0	0	0	0	1	2	1
Word-medial semivowel /j/ ending a diphthong	j	Hagais	agajs	agajs	0	0	0	0	0	0	5	0	0
Word-medial semivowel /j/ ending a diphthong	y	Hagais	agays	agays	0	0	0	0	0	0	5	0	0
Word-medial semivowel /j/ ending a diphthong	y	Hagais	agayz	agayz	0	0	0	0	0	0	0	0	2
Word-medial semivowel /j/ ending a diphthong	i	Hagais	agais	agáis	0	0	0	0	0	0	0	1	1
Word-medial semivowel /j/ ending a diphthong	y	Hagais	agays	agáys	0	0	0	0	0	0	0	4	0
Word-final semivowel /j/ ending a diphthong	i	Hay	ai	ai	1	4	0	1	1	1	51	33	108
Word-medial semivowel /j/ starting a diphthong	i	Hayais	aiais	aiais	0	0	0	0	0	0	6	2	0
Word-medial semivowel /j/ ending a diphthong	i	Hayais	aiais	aiais	0	0	0	0	0	0	6	2	0
Word-medial semivowel /j/ starting a diphthong	i	Ayer	aier	aier	0	0	0	0	0	0	4	1	6
Word-medial consonant /d͡ʒ/ or /ʃ/	i	Ajo(s)?	aio	aio	0	0	0	0	0	0	17	2	1
Word-medial consonant /d͡ʒ/ or /ʃ/	i	Ajo(s)?	aios	aios	2	1	3	0	0	1	2	0	2
Word-medial semivowel /j/ ending a diphthong	i	Aire(s)?	aire	aire	0	7	12	0	2	656	920	753	2608
Word-medial semivowel /j/ ending a diphthong	i	Aire(s)?	aires	aires	0	0	1	1	0	38	83	203	377
Word-medial consonant /d͡ʒ/ or /ʃ/	i	Ajo(s)?	aio	aiº	0	0	0	0	0	0	1	0	0
Word-medial semivowel /j/ starting a diphthong	i	Hayais	aiais	aiáis	0	0	0	0	0	0	0	0	2
Word-medial semivowel /j/ ending a diphthong	i	Hayais	aiais	aiáis	0	0	0	0	0	0	0	0	2
Word-final semivowel /j/ ending a diphthong	j	Hay	aj	aj	2	0	0	0	0	1	1	0	0
Word-medial consonant /d͡ʒ/ or /ʃ/	j	Ajo(s)?	ajo	ajo	6	1	0	3	5	2	46	39	77
Word-medial consonant /d͡ʒ/ or /ʃ/	j	Ajo(s)?	ajos	ajos	0	18	2	0	29	6	105	102	104
Word-medial consonant /d͡ʒ/ or /ʃ/	j	Ajo(s)?	ajo	ajó	0	0	0	0	0	0	0	1	0
Word-medial semivowel /j/ starting a diphthong	i	Antoni(o|a)	antonia	antonia	0	0	1	0	1	2	20	59	88
Word-medial semivowel /j/ starting a diphthong	i	Antoni(o|a)	antonio	antonio	1	0	9	21	434	30	1362	2723	3829
Word-medial semivowel /j/ starting a diphthong	j	Antoni(o|a)	antonja	antonja	0	0	0	0	0	1	0	0	0
Word-medial semivowel /j/ starting a diphthong	j	Antoni(o|a)	antonjo	antonjo	0	0	1	4	25	65	115	6	2
Word-medial semivowel /j/ starting a diphthong	i	Antoni(o|a)	antonnio	antonnio	0	0	0	0	0	0	0	1	0
Word-medial semivowel /j/ starting a diphthong	y	Antoni(o|a)	antonya	antonya	0	0	0	0	0	0	0	0	1
Word-medial semivowel /j/ starting a diphthong	y	Antoni(o|a)	antonyo	antonyo	0	0	0	0	16	0	7	93	14
Word-medial semivowel /j/ starting a diphthong	i	Antoni(o|a)	antonia	antonía	0	0	0	0	0	0	0	1	1
Word-medial semivowel /j/ starting a diphthong	i	Antoni(o|a)	antonio	antonío	0	0	0	0	0	0	0	0	1
