Clase	Letra	Correspondencia	Transcripción	Forma	–1200	1201–1250	1251–1300	1301–1350	1351–1400	1401–1450	1451–1500	1501–1550	1551–1600
Word-medial semivowel /j/ starting a diphthong	y	Habiendo	avyendo	avyendo	0	0	0	0	0	0	7	2	0
Word-medial semivowel /j/ ending a diphthong	i	Habeis	aveis	avéis	2	0	66	0	4	16	191	1142	358
Word-medial semivowel /j/ ending a diphthong	y	Habeis	aveys	avéys	1	0	0	1	0	7	53	662	209
Word-final semivowel /j/ ending a diphthong	y	Hay	ay	ay	176	151	772	798	322	2306	4431	12153	12698
Word-medial semivowel /j/ starting a diphthong	y	Hayais	ayais	ayais	0	0	0	0	0	0	12	13	9
Word-medial semivowel /j/ ending a diphthong	y	Hayais	ayais	ayais	0	0	0	0	0	0	12	13	9
Word-medial semivowel /j/ starting a diphthong	y	Hayais	ayajs	ayajs	0	0	0	0	0	0	10	0	0
Word-medial semivowel /j/ ending a diphthong	y	Hayais	ayajs	ayajs	0	0	0	0	0	0	10	0	0
Word-medial semivowel /j/ starting a diphthong	y	Hayais	ayays	ayays	0	0	1	0	1	0	37	60	21
Word-medial semivowel /j/ ending a diphthong	y	Hayais	ayays	ayays	0	0	1	0	1	0	37	60	21
Word-medial semivowel /j/ starting a diphthong	y	Hayais	ayays	ayaýs	0	0	0	0	0	0	0	0	1
Word-medial semivowel /j/ ending a diphthong	y	Hayais	ayays	ayaýs	0	0	0	0	0	0	0	0	1
Word-medial semivowel /j/ starting a diphthong	y	Ayer	ayer	ayer	32	4	21	48	3	43	250	463	657
Word-medial semivowel /j/ starting a diphthong	y	Hayais	ayais	ayáis	0	0	12	0	0	1	31	91	33
Word-medial semivowel /j/ ending a diphthong	y	Hayais	ayais	ayáis	0	0	12	0	0	1	31	91	33
Word-medial semivowel /j/ starting a diphthong	y	Hayais	ayays	ayáys	0	0	0	0	0	1	7	69	9
Word-medial semivowel /j/ ending a diphthong	y	Hayais	ayays	ayáys	0	0	0	0	0	1	7	69	9
Word-medial semivowel /j/ starting a diphthong	i	Haciendo	aziendo	aziendo	0	0	0	0	0	0	3	4	11
Word-medial semivowel /j/ ending a diphthong	y	Haceis	azeys	azéys	0	0	0	0	0	0	0	1	0
Word-medial semivowel /j/ starting a diphthong	i	Haciendo	aciendo	açiendo	0	0	0	0	0	0	0	4	5
Word-medial semivowel /j/ starting a diphthong	i	Haciendo	aciendo	açiéndo	0	0	0	0	0	0	0	0	1
Word-final semivowel /j/ ending a diphthong	i	Hay	ai	aí	0	0	64	1	0	18	224	284	94
Word-final semivowel /j/ ending a diphthong	i	Hay	ai	aï	0	2	0	0	0	0	0	0	0
Word-final semivowel /j/ ending a diphthong	y	Hay	ay	aý	0	0	9	16	0	93	38	2978	238
Word-medial semivowel /j/ starting a diphthong	i	Vaya(mos|n|s)	baian	baian	2	1	1	0	0	0	1	1	4
Word-medial semivowel /j/ starting a diphthong	i	Vaya(mos|n|s)	baias	baias	0	0	0	0	0	0	5	0	0
Word-medial semivowel /j/ ending a diphthong	i	Vais	bais	bais	1	0	0	0	0	1	0	1	7
Word-medial semivowel /j/ starting a diphthong	j	Vayais	bajais	bajais	0	0	0	0	0	0	0	0	1
Word-medial semivowel /j/ ending a diphthong	j	Vayais	bajais	bajais	0	0	0	0	0	0	0	0	1
Word-medial semivowel /j/ starting a diphthong	j	Vaya(mos|n|s)	bajamos	bajamos	0	0	0	0	0	0	0	6	18
Word-medial semivowel /j/ starting a diphthong	j	Vaya(mos|n|s)	bajan	bajan	0	0	0	0	0	0	13	30	93
Word-medial semivowel /j/ starting a diphthong	j	Vaya(mos|n|s)	bajas	bajas	0	0	0	0	0	0	16	89	296
Word-medial semivowel /j/ starting a diphthong	j	Vayais	bajais	bajáis	0	0	0	0	0	0	0	0	3
Word-medial semivowel /j/ ending a diphthong	j	Vayais	bajais	bajáis	0	0	0	0	0	0	0	0	3
Word-medial semivowel /j/ starting a diphthong	y	Vaya(mos|n|s)	bayamo	bayamo	0	0	0	0	0	0	0	2	2
Word-medial semivowel /j/ starting a diphthong	y	Vaya(mos|n|s)	bayamon	bayamon	0	0	0	0	0	0	0	0	1
Word-medial semivowel /j/ starting a diphthong	y	Vaya(mos|n|s)	bayamos	bayamos	0	0	1	0	0	0	0	1	0
Word-medial semivowel /j/ starting a diphthong	y	Vaya(mos|n|s)	bayamon	bayamón	0	0	0	0	0	0	0	1	0
Word-medial semivowel /j/ starting a diphthong	y	Vaya(mos|n|s)	bayan	bayan	2	0	4	2	1	6	13	29	18
Word-medial semivowel /j/ starting a diphthong	y	Vaya(mos|n|s)	bayano	bayano	0	0	0	0	0	0	0	1	3
Word-medial semivowel /j/ starting a diphthong	y	Vaya(mos|n|s)	bayas	bayas	0	7	0	0	1	0	3	6	38
Word-medial semivowel /j/ starting a diphthong	y	Vaya(mos|n|s)	bayano	bayaño	0	0	0	0	0	0	0	2	0
Word-medial semivowel /j/ ending a diphthong	y	Vais	bays	bays	0	0	0	0	3	0	0	4	2
Word-medial semivowel /j/ starting a diphthong	i	Vaya(mos|n|s)	baias	baías	0	0	0	0	0	0	1	0	1
Word-medial semivowel /j/ starting a diphthong	y	Vaya(mos|n|s)	bayas	baýas	0	0	0	0	0	0	0	6	3
Word-medial vowel /i/	i	Catalina	catalina	catalina	29	3	134	60	1	104	342	558	739
Word-medial vowel /i/	j	Catalina	cataljna	cataljna	2	0	0	0	11	0	0	2	0
Word-medial vowel /i/	i	Catalina	catallina	catallina	0	0	0	1	0	0	0	0	0
Word-medial vowel /i/	j	Catalina	catalljna	catalljna	3	0	0	0	0	0	0	0	0
Word-medial vowel /i/	y	Catalina	catalyna	catalyna	1	0	15	0	0	1	1	0	0
Word-medial vowel /i/	i	Catalina	cattalina	cattalina	0	0	0	0	0	0	0	4	2
Word-medial vowel /i/	i	Cid	cid	cid	23	0	77	1	0	4	1373	2015	341
Word-medial vowel /i/	i	Cidi	cidi	cidi	4	0	0	0	0	0	3	13	5
Word-final vowel /i/	i	Cidi	cidi	cidi	4	0	0	0	0	0	3	13	5
Word-medial vowel /i/	i	Cidi	cidy	cidy	0	0	0	0	0	0	1	0	0
Word-final vowel /i/	y	Cidi	cidy	cidy	0	0	0	0	0	0	1	0	0
Word-medial semivowel /j/ starting a diphthong	i	Siendo	ciendo	ciendo	0	0	0	0	0	0	2	0	3
Word-medial vowel /i/	j	Cid	cjd	cjd	1	0	0	0	0	0	0	0	0
Word-medial vowel /i/	y	Cid	cyd	cyd	0	0	0	0	0	0	4	0	0
Word-medial vowel /i/	i	Elvira	elbira	elbira	0	0	1	2	0	0	2	4	1
Word-medial vowel /i/	i	Elvira	eluira	eluira	60	57	101	3	1	31	33	103	10
Word-medial vowel /i/	j	Elvira	elujra	elujra	4	0	1	32	0	1	0	0	0
Word-medial vowel /i/	y	Elvira	eluyra	eluyra	0	0	10	0	0	0	2	1	0
Word-medial vowel /i/	i	Elvira	elvira	elvira	19	4	58	22	8	10	163	42	497
Word-medial vowel /i/	y	Elvira	elvyra	elvyra	0	0	0	1	0	0	0	0	0
Word-final vowel /i/	i	Heri	eri	eri	0	2	1	0	0	1	31	0	25
Word-medial vowel /i/	i	Her(is|iste)	erice	erice	0	0	0	0	0	0	2	2	5
Word-medial vowel /i/	i	Her(is|iste)	eris	eris	0	0	0	0	0	4	386	13	26
Word-medial vowel /i/	i	Her(is|iste)	eriz	eriz	6	0	0	0	0	0	0	0	0
Word-medial vowel /i/	i	Her(is|iste)	erice	eriçe	0	1	0	0	0	0	0	0	2
Word-medial vowel /i/	i	Her(is|iste)	erriz	erriz	0	0	0	0	0	0	1	0	0
Word-medial consonant /d͡ʒ/ or /ʃ/	g	Escogi	escogi	escogi	0	0	1	0	2	1	3	6	31
Word-final vowel /i/	i	Escogi	escogi	escogi	0	0	1	0	2	1	3	6	31
Word-medial consonant /d͡ʒ/ or /ʃ/	g	Escogi	escogi	escogí	1	0	0	2	0	0	8	19	24
Word-final vowel /i/	i	Escogi	escogi	escogí	1	0	0	2	0	0	8	19	24
Word-medial consonant /d͡ʒ/ or /ʃ/	j	Escogi	escoji	escojí	0	0	0	0	0	0	1	1	2
Word-final vowel /i/	i	Escogi	escoji	escojí	0	0	0	0	0	0	1	1	2
Word-final vowel /i/	i	Fui	ffui	ffui	0	0	0	3	0	0	0	1	2
Word-medial vowel /i/	i	Fui(mos|ste)	ffuimos	ffuimos	0	0	0	0	0	0	0	1	0
Word-medial vowel /i/	i	Fui(mos|ste)	ffuit	ffuit	1	0	0	0	0	0	0	0	0
Word-final vowel /i/	y	Fui	ffuy	ffuy	16	4	0	9	0	0	0	2	0
Word-medial vowel /i/	y	Fui(mos|ste)	ffuyeen	ffuyeen	0	0	0	1	0	0	0	0	0
Word-final vowel /i/	i	Fui	ffui	ffuí	0	0	0	0	0	0	0	0	2
Word-medial semivowel /j/ ending a diphthong	i	Fue(r|s)(a|e)is	fuerais	fuerais	0	0	0	0	0	0	2	2	4
Word-medial semivowel /j/ ending a diphthong	i	Fue(r|s)(a|e)is	fuereis	fuereis	0	0	0	0	0	0	1	1	0
Word-medial semivowel /j/ ending a diphthong	y	Fue(r|s)(a|e)is	fuereys	fuereys	0	0	0	0	0	0	0	0	1
Word-medial semivowel /j/ ending a diphthong	i	Fue(r|s)(a|e)is	fueseis	fueseis	0	0	0	1	0	0	0	2	0
Word-medial semivowel /j/ ending a diphthong	i	Fue(r|s)(a|e)is	fuesseis	fuesseis	0	0	0	0	0	0	0	1	2
Word-medial semivowel /j/ ending a diphthong	y	Fue(r|s)(a|e)is	fuesseys	fuesseys	0	0	0	0	0	0	0	0	1
Word-final vowel /i/	i	Fui	fui	fui	48	25	59	35	35	130	197	507	905
Word-medial vowel /i/	i	Fui(mos|ste)	fuie	fuie	0	0	0	0	3	0	0	0	0
Word-medial vowel /i/	i	Fui(mos|ste)	fuien	fuien	1	0	0	0	0	0	0	0	0
Word-medial vowel /i/	i	Fui(mos|ste)	fuiesse	fuiesse	0	0	0	0	1	0	0	0	0
Word-medial vowel /i/	i	Fui(mos|ste)	fuime	fuime	0	1	0	7	1	1	1	11	38
Word-medial vowel /i/	i	Fui(mos|ste)	fuimonos	fuimonos	0	0	0	0	0	0	0	0	1
Word-medial vowel /i/	i	Fui(mos|ste)	fuimos	fuimos	3	0	8	2	2	6	30	469	513
Word-medial vowel /i/	i	Fui(mos|ste)	fuino	fuino	0	0	0	0	0	0	1	0	0
Word-medial vowel /i/	i	Fui(mos|ste)	fuis	fuis	0	1	0	0	1	0	0	2	1
Word-medial vowel /i/	i	Fui(mos|ste)	fuise	fuise	0	0	0	0	0	1	0	0	0
Word-medial vowel /i/	i	Fui(mos|ste)	fuisem	fuisem	0	0	0	0	0	0	0	0	1
Word-medial vowel /i/	i	Fui(mos|ste)	fuisent	fuisent	1	0	0	0	0	0	0	0	0
